longitude,latitude,area,type
-3.676,50.665,2407,graveyard
-0.723,51.527,5177,graveyard
-1.462,55.063,70047,graveyard
-2.890,50.853,2063,graveyard
-0.945,53.310,15512,graveyard
-4.012,50.737,5119,graveyard
-1.840,52.434,4106,graveyard
-1.083,51.412,18,graveyard
-1.629,53.526,7659,graveyard
-1.275,52.932,4088,graveyard
-0.368,51.644,17457,graveyard
-2.587,51.913,27762,graveyard
-0.655,51.195,2531,graveyard
-0.229,51.963,4432,graveyard
-1.060,53.833,5574,graveyard
-0.776,51.528,12394,graveyard
-3.440,50.691,2041,graveyard
-2.572,53.341,4976,graveyard
-1.785,51.707,233,graveyard
-2.361,51.415,1193,graveyard
-1.780,51.703,3612,graveyard
-0.302,52.040,3609,graveyard
-1.817,51.673,1510,graveyard
-1.768,51.667,4696,graveyard
-1.767,51.668,3443,graveyard
-1.757,51.689,1660,graveyard
-4.064,53.197,6085,graveyard
-1.288,52.931,3703,graveyard
-1.792,51.740,2064,graveyard
0.014,52.351,5933,graveyard
-1.558,51.266,9481,graveyard
-3.538,50.606,1870,graveyard
-3.480,50.580,6338,graveyard
-0.072,51.806,2527,graveyard
0.641,51.265,6032,graveyard
-1.788,53.816,4474,graveyard
-3.784,50.641,2983,graveyard
-1.929,51.675,7434,graveyard
-0.703,51.834,5372,graveyard
0.706,51.549,8785,graveyard
-1.960,54.727,3389,graveyard
0.730,51.334,13871,graveyard
0.740,51.340,4338,graveyard
-1.164,52.410,2062,graveyard
-1.350,52.943,1823,graveyard
-2.156,52.023,6151,graveyard
0.223,52.602,11386,graveyard
-2.405,53.790,7408,graveyard
-1.776,52.411,7705,graveyard
-1.161,51.090,11025,graveyard
-1.136,51.085,5579,graveyard
-1.111,50.874,2805,graveyard
-2.857,54.076,6598,graveyard
-5.426,56.023,646,graveyard
-1.805,53.836,4706,graveyard
-1.246,52.935,5997,graveyard
-1.245,52.932,1035,graveyard
-2.879,56.447,1315,graveyard
-3.467,50.762,3100,graveyard
1.449,52.630,11816,graveyard
-1.310,52.939,4305,graveyard
-1.672,55.109,10555,graveyard
-5.639,56.221,3330,graveyard
-5.616,56.289,4265,graveyard
-2.408,53.821,7119,graveyard
-2.340,52.996,6941,graveyard
-0.175,51.891,2640,graveyard
-2.968,56.464,1066,graveyard
-1.983,54.292,18941,graveyard
-5.175,50.118,4848,graveyard
-4.017,51.639,4172,graveyard
-3.762,50.661,9610,graveyard
-0.425,51.576,6677,graveyard
-3.618,50.713,2695,graveyard
-0.770,51.490,7367,graveyard
-2.445,50.546,32054,graveyard
-0.789,51.515,4370,graveyard
-1.965,52.597,10446,graveyard
-5.836,57.250,4560,graveyard
-5.836,57.250,1757,graveyard
-2.394,53.758,7907,graveyard
-2.388,53.774,3345,graveyard
-2.370,53.779,4150,graveyard
-0.537,51.302,3246,graveyard
-2.217,50.677,6641,graveyard
-1.264,51.732,5785,graveyard
-1.312,51.709,4258,graveyard
-1.285,51.746,1882,graveyard
-1.299,52.878,11729,graveyard
-2.088,52.464,20513,graveyard
-2.106,52.472,5225,graveyard
-6.185,56.298,2521,graveyard
-1.318,52.897,2915,graveyard
-3.422,50.828,6898,graveyard
-2.352,53.894,4301,graveyard
-2.200,51.742,39973,graveyard
-2.200,51.741,19415,graveyard
-1.540,54.920,11611,graveyard
-3.295,50.809,3701,graveyard
-5.668,55.308,2408,graveyard
-5.590,55.416,5701,graveyard
1.019,52.518,6367,graveyard
-2.330,53.894,2411,graveyard
-0.120,52.384,3739,graveyard
-1.437,54.342,7225,graveyard
-0.444,53.252,1084,graveyard
-1.158,51.763,1024,graveyard
-1.156,51.764,4389,graveyard
-1.164,51.780,3098,graveyard
0.508,51.261,345,graveyard
0.483,51.253,6103,graveyard
-2.396,53.877,2728,graveyard
-1.271,52.899,4311,graveyard
-5.311,55.958,2811,graveyard
0.441,51.287,7362,graveyard
-2.202,51.353,2251,graveyard
-2.201,51.353,1853,graveyard
-2.201,51.353,2573,graveyard
-0.451,53.284,3919,graveyard
-1.479,52.221,3672,graveyard
-2.125,51.379,2421,graveyard
-1.036,51.485,2906,graveyard
-2.218,52.227,8086,graveyard
-2.164,52.288,6800,graveyard
-0.108,52.437,6124,graveyard
-5.492,50.145,8970,graveyard
-2.357,51.382,9,graveyard
-2.357,51.382,9,graveyard
-3.055,52.932,8252,graveyard
-2.115,54.200,2974,graveyard
-2.724,52.751,9147,graveyard
-1.313,51.774,1764,graveyard
-3.553,50.679,1091,graveyard
-2.208,52.515,3807,graveyard
-0.617,51.704,7245,graveyard
-3.616,56.012,44689,graveyard
-3.427,56.393,11494,graveyard
-3.306,50.713,1243,graveyard
-3.293,50.719,3500,graveyard
-4.034,57.679,11158,graveyard
-2.399,53.878,42670,graveyard
-3.447,50.704,2159,graveyard
-0.659,53.275,9693,graveyard
-0.608,51.481,2879,graveyard
-1.244,52.875,3116,graveyard
-0.102,52.449,6909,graveyard
-1.225,52.890,3504,graveyard
-0.325,53.210,5474,graveyard
0.061,52.210,3034,graveyard
0.095,52.179,5191,graveyard
-1.205,52.866,2596,graveyard
-2.768,55.952,4379,graveyard
-2.770,55.958,11885,graveyard
-3.370,50.807,2597,graveyard
-3.382,50.791,1272,graveyard
-1.247,52.974,1695,graveyard
-0.954,53.077,17901,graveyard
-3.144,50.790,2461,graveyard
-1.319,52.961,6377,graveyard
-3.426,50.650,4927,graveyard
-1.582,52.282,6230,graveyard
-0.571,51.247,3896,graveyard
-3.482,50.815,7146,graveyard
-1.821,52.690,14055,graveyard
-1.396,52.993,5404,graveyard
-1.283,51.667,1436,graveyard
0.815,51.638,5205,graveyard
-2.207,51.858,13310,graveyard
-0.654,53.464,1364,graveyard
-0.616,51.187,4127,graveyard
-2.480,51.359,1691,graveyard
-2.376,54.278,2501,graveyard
-4.426,55.846,1671,graveyard
-4.429,55.846,2531,graveyard
-4.420,55.845,4843,graveyard
-4.422,55.845,688,graveyard
1.034,52.141,8567,graveyard
-2.237,51.792,3838,graveyard
-2.278,54.071,8494,graveyard
-3.422,56.394,2139,graveyard
-1.159,53.767,3338,graveyard
-3.266,50.787,1689,graveyard
-3.246,50.796,2697,graveyard
-6.283,58.207,4841,graveyard
-6.401,58.446,5298,graveyard
-7.395,57.459,3914,graveyard
-7.485,57.001,965,graveyard
-7.434,57.039,4963,graveyard
-7.396,57.131,1859,graveyard
-7.311,57.082,1066,graveyard
-7.400,57.395,1950,graveyard
-7.155,57.730,1653,graveyard
-7.376,57.527,2810,graveyard
-7.425,57.274,5589,graveyard
0.598,50.996,329,graveyard
-0.353,51.674,6366,graveyard
-1.339,52.062,7027,graveyard
-1.826,52.095,4215,graveyard
-3.116,53.115,5910,graveyard
-0.320,51.380,24073,graveyard
1.033,51.125,2345,graveyard
-2.107,51.999,7558,graveyard
-2.443,51.430,1042,graveyard
-1.565,52.098,2249,graveyard
0.258,51.872,6677,graveyard
-1.504,52.097,4941,graveyard
-0.153,52.469,6126,graveyard
-2.345,53.433,10408,graveyard
-3.145,51.855,3226,graveyard
-2.099,53.156,620,graveyard
-0.527,51.246,5992,graveyard
-1.316,52.917,2883,graveyard
-1.803,53.095,8454,graveyard
-0.889,52.238,8863,graveyard
-0.110,51.854,5917,graveyard
-1.089,51.403,2330,graveyard
-0.143,52.511,3636,graveyard
-2.037,52.605,7969,graveyard
-3.277,50.835,3000,graveyard
-0.149,52.428,2508,graveyard
-0.271,52.375,210,graveyard
-0.907,52.261,3110,graveyard
-0.473,51.759,7464,graveyard
-1.986,51.353,3036,graveyard
-1.338,51.001,3532,graveyard
-3.604,50.738,3852,graveyard
-0.025,52.494,644,graveyard
-1.290,53.228,9971,graveyard
-5.750,55.669,2483,graveyard
-0.529,51.723,15640,graveyard
1.060,52.169,6553,graveyard
-1.800,52.237,5106,graveyard
-0.301,51.459,2034,graveyard
-1.214,52.291,6688,graveyard
-6.379,54.335,2659,graveyard
-1.892,52.044,5940,graveyard
-1.125,51.753,2794,graveyard
-0.206,51.909,1673,graveyard
-1.966,52.059,4805,graveyard
-1.333,53.057,6355,graveyard
1.090,52.032,4920,graveyard
-0.149,52.373,1449,graveyard
1.099,52.027,4306,graveyard
-0.888,54.354,5408,graveyard
-2.226,54.672,4318,graveyard
-0.193,52.386,6193,graveyard
-6.335,54.375,11787,graveyard
-2.243,52.390,10753,graveyard
-1.520,54.968,75028,graveyard
0.878,51.207,6832,graveyard
0.875,51.190,1198,graveyard
-0.224,52.424,3557,graveyard
-0.176,51.169,8749,graveyard
-1.650,54.968,106574,graveyard
-1.551,54.973,21683,graveyard
-0.221,51.461,2221,graveyard
-4.703,50.400,5330,graveyard
-1.308,52.971,6233,graveyard
-4.418,58.479,6911,graveyard
-4.273,58.527,1754,graveyard
-3.998,58.564,7539,graveyard
-2.467,56.711,3343,graveyard
-1.177,54.300,3888,graveyard
-3.980,55.880,55853,graveyard
-1.435,52.870,915,graveyard
